OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,COUNTY_NAME,PREFERRED_CITY,Shape_Length,Shape_Area
1,98001,98001,033,Standard,King County,AUBURN,147643.355747481,525313280.559772
2,98002,98002,033,Standard,King County,AUBURN,104440.086790685,205302753.899029
3,98003,98003,033,Standard,King County,FEDERAL WAY,123619.720417882,316939471.105242
4,98004,98004,033,Standard,King County,BELLEVUE,109051.119161777,201759849.50299
5,98005,98005,033,Standard,King County,BELLEVUE,116554.737369372,211433669.28828
6,98006,98006,033,Standard,King County,BELLEVUE,107965.965144188,321915192.572582
7,98007,98007,033,Standard,King County,BELLEVUE,113051.351422619,115966096.888698
8,98008,98008,033,Standard,King County,BELLEVUE,94042.1738615569,153571287.094132
9,98010,98010,033,Standard,King County,BLACK DIAMOND,131826.320233209,519142696.077925
10,98011,98011,033,Standard,King County,BOTHELL,73516.7892846724,197687795.743368
11,98011,98011,061,Standard,Snohomish County,BOTHELL,2707.86475010973,149341.794017809
12,98012,98012,061,Standard,Snohomish County,BOTHELL,114116.470117549,421408231.421983
13,98014,98014,033,Standard,King County,CARNATION,231918.455317527,1159838487.72748
14,98019,98019,033,Standard,King County,DUVALL,313473.999404386,3188086069.81265
15,98019,98019,061,Standard,Snohomish County,DUVALL,7976.11143896636,2266669.88920626
16,98020,98020,061,Standard,Snohomish County,EDMONDS,66203.7135701415,142247023.214042
17,98021,98021,033,Standard,King County,BOTHELL,104214.628638445,273404928.9022
18,98022,98022,033,Standard,King County,ENUMCLAW,736008.178947781,11360773692.5474
19,98022,98022,053,Standard,Pierce County,ENUMCLAW,295979.59225798,2507633660.90162
20,98023,98023,033,Standard,King County,FEDERAL WAY,93096.4134744919,290536308.384435
21,98024,98024,033,Standard,King County,FALL CITY,364856.941383113,2193499468.38794
22,98026,98026,061,Standard,Snohomish County,EDMONDS,133289.423884277,258888373.428059
23,98027,98027,033,Standard,King County,ISSAQUAH,279608.270397543,1588773166.27512
24,98028,98028,033,Standard,King County,KENMORE,75032.3162002755,173097334.12243
25,98029,98029,033,Standard,King County,ISSAQUAH,113426.338626658,269791010.261666
26,98030,98030,033,Standard,King County,KENT,93300.9056693999,200650834.478597
27,98031,98031,033,Standard,King County,KENT,114217.446807908,228130484.687485
28,98032,98032,033,Standard,King County,KENT,160965.225925507,478266653.765603
29,98033,98033,033,Standard,King County,KIRKLAND,99649.3448296189,257384178.614482
30,98034,98034,033,Standard,King County,KIRKLAND,96056.3961849211,272525623.16195
31,98036,98036,061,Standard,Snohomish County,LYNNWOOD,111912.218321298,267158094.932548
32,98037,98037,061,Standard,Snohomish County,LYNNWOOD,78136.4159390061,168863901.907376
33,98038,98038,033,Standard,King County,MAPLE VALLEY,313215.451430796,1641555611.34951
34,98039,98039,033,Standard,King County,MEDINA,37226.8263154254,39349550.4594143
35,98040,98040,033,Standard,King County,MERCER ISLAND,75519.6591026005,175584208.596036
36,98042,98042,033,Standard,King County,KENT,207816.97012924,768020169.240332
37,98043,98043,061,Standard,Snohomish County,MOUNTLAKE TERRACE,46970.6897693763,115804612.755818
38,98045,98045,033,Standard,King County,NORTH BEND,644167.770884012,8056672357.60345
39,98047,98047,033,Standard,King County,PACIFIC,41796.5833433971,48760252.357997
40,98047,98047,053,Standard,Pierce County,PACIFIC,19937.7304027148,19319883.4562564
41,98050,98050,033,PO Box,King County,PRESTON,62720.6505376427,39535965.4162418
42,98051,98051,033,Standard,King County,RAVENSDALE,212924.686739448,1151477139.28454
43,98052,98052,033,Standard,King County,REDMOND,167494.631010287,546474684.484104
44,98053,98053,033,Standard,King County,REDMOND,200161.14285843,773072520.71339
45,98055,98055,033,Standard,King County,RENTON,67775.2383257491,124865108.973909
46,98056,98056,033,Standard,King County,RENTON,92086.6180578612,198493559.544687
47,98057,98057,033,Standard,King County,RENTON,85293.9092433969,184442624.912107
48,98058,98058,033,Standard,King County,RENTON,172731.987555593,627099573.558136
49,98059,98059,033,Standard,King County,RENTON,146767.839701002,462310927.621458
50,98065,98065,033,Standard,King County,SNOQUALMIE,352239.407992517,2405166819.81564
51,98068,98068,033,PO Box,King County,SNOQUALMIE PASS,12574.0267462688,2805831.87750889
52,98068,98068,037,PO Box,Kittitas County,SNOQUALMIE PASS,220130.818473637,1770029111.04895
53,98070,98070,033,Standard,King County,VASHON,272819.693396191,1010295820.04487
54,98072,98072,033,Standard,King County,WOODINVILLE,118840.621246458,368821004.494515
55,98072,98072,061,Standard,Snohomish County,WOODINVILLE,76667.7800054903,151104512.280404
56,98074,98074,033,Standard,King County,SAMMAMISH,115710.562097701,327719198.547762
57,98075,98075,033,Standard,King County,SAMMAMIISH,126568.888076525,290512462.928685
58,98077,98077,033,Standard,King County,WOODINVILLE,116788.251072248,419638040.82096
59,98077,98077,061,Standard,Snohomish County,WOODINVILLE,50110.1240030627,75926072.5352454
60,98087,98087,061,Standard,Snohomish County,LYNNWOOD,68003.5198361596,156580450.322233
61,98092,98092,033,Standard,King County,AUBURN,265529.75688748,1212840831.53283
62,98092,98092,053,Standard,Pierce County,AUBURN,35442.1008768838,46332629.587949
63,98101,98101,033,Standard,King County,SEATTLE,23561.0328015806,14586566.6622487
64,98102,98102,033,Standard,King County,SEATTLE,37843.1751279714,43622100.1306048
65,98103,98103,033,Standard,King County,SEATTLE,72870.5809337797,144127888.04798
66,98104,98104,033,Standard,King County,SEATTLE,36004.4906347835,20914509.9248954
67,98105,98105,033,Standard,King County,SEATTLE,80390.6601921233,96229013.2565968
68,98106,98106,033,Standard,King County,SEATTLE,80786.6734678412,147531909.05028
69,98107,98107,033,Standard,King County,SEATTLE,53464.5822534612,65511022.9628124
70,98108,98108,033,Standard,King County,SEATTLE,85360.9195319696,215670363.648205
71,98109,98109,033,Standard,King County,SEATTLE,40916.5169507066,66378538.5809028
72,98110,98110,035,Standard,Kitsap County,BAINBRIDGE ISLAND,261622.880832056,757413743.748941
73,98112,98112,033,Standard,King County,SEATTLE,66300.330438635,88057786.6471578
74,98115,98115,033,Standard,King County,SEATTLE,77396.1767735193,181417653.644831
75,98116,98116,033,Standard,King County,SEATTLE,46480.6284405728,81498868.4102486
76,98117,98117,033,Standard,King County,SEATTLE,56106.9615939373,107285114.970949
77,98118,98118,033,Standard,King County,SEATTLE,92474.998376694,169738915.474858
78,98119,98119,033,Standard,King County,SEATTLE,58619.5620305738,77201573.9548143
79,98121,98121,033,Standard,King County,SEATTLE,25014.854728829,12298411.8129991
80,98122,98122,033,Standard,King County,SEATTLE,49347.8208445224,64761401.2570827
81,98125,98125,033,Standard,King County,SEATTLE,66950.0376676744,149681545.927123
82,98126,98126,033,Standard,King County,SEATTLE,84230.3078857628,96439319.2727498
83,98133,98133,033,Standard,King County,SEATTLE,94868.693596834,195873440.512534
84,98134,98134,033,Standard,King County,SEATTLE,65743.2033168938,112790352.812895
85,98136,98136,033,Standard,King County,SEATTLE,52949.0392547692,63209265.1688454
86,98144,98144,033,Standard,King County,SEATTLE,52266.4966954488,92549209.0258369
87,98146,98146,033,Standard,King County,SEATTLE,63479.673755094,126435914.99411
88,98148,98148,033,Standard,King County,SEATTLE,69872.5737885917,78885926.4999321
89,98154,98154,033,Standard,King County,SEATTLE,1105.87403025575,76423.2300881511
90,98155,98155,033,Standard,King County,SEATTLE,72280.3979499942,211725768.27662
91,98158,98158,033,Standard,King County,SEATTLE,35514.4344700578,59126615.4154482
92,98164,98164,033,Standard,King County,SEATTLE,1115.5232034814,77740.1683586222
93,98166,98166,033,Standard,King County,SEATTLE,89919.5407905389,158170988.039989
94,98168,98168,033,Standard,King County,SEATTLE,106381.845431266,259912999.504195
95,98177,98177,033,Standard,King County,SEATTLE,95446.5220397808,159596029.423995
96,98177,98177,061,Standard,Snohomish County,SEATTLE,5897.64668313395,1716364.83625394
97,98178,98178,033,Standard,King County,SEATTLE,67298.0443240085,135204962.689569
98,98188,98188,033,Standard,King County,SEATTLE,94562.5925111536,219764248.360231
99,98195,98195,033,Standard,King County,SEATTLE,26774.3538997769,21897477.6848268
100,98198,98198,033,Standard,King County,SEATTLE,120408.251802657,214398419.634122
101,98199,98199,033,Standard,King County,SEATTLE,56530.691315602,113390749.283018
102,98201,98201,061,Standard,Snohomish County,EVERETT,80933.1744771278,193032742.872788
103,98203,98203,061,Standard,Snohomish County,EVERETT,94739.6544754597,317634421.607555
104,98204,98204,061,Standard,Snohomish County,EVERETT,83247.2016593664,250191196.918369
105,98205,98205,061,Standard,Snohomish County,EVERETT,203110.976557289,632952840.929091
106,98206,98260,061,Standard,Snohomish County,LANGLEY,22790.6534398866,19121911.0979738
107,98208,98208,061,Standard,Snohomish County,EVERETT,140817.66610917,361491036.029275
108,98223,98223,061,Standard,Snohomish County,ARLINGTON,573249.36932447,9188799827.53695
109,98224,98224,033,PO Box,King County,BARING,187335.768145867,1720764743.93921
110,98241,98241,061,Standard,Snohomish County,DARRINGTON,489725.415549831,10702285410.1068
111,98251,98251,061,Standard,Snohomish County,GOLD BAR,170540.052924609,1365169876.36589
112,98252,98252,061,Standard,Snohomish County,GRANITE FALLS,655587.480414569,11458033795.596
113,98258,98258,061,Standard,Snohomish County,LAKE STEVENS,188174.037646858,746870626.739434
114,98270,98270,061,Standard,Snohomish County,MARYSVILLE,129683.810503231,401548254.191824
115,98271,98271,061,Standard,Snohomish County,MARYSVILLE,279768.294508138,1414291571.84953
116,98272,98272,061,Standard,Snohomish County,MONROE,284146.297217331,2511785006.20078
117,98275,98275,061,Standard,Snohomish County,MUKILTEO,81557.5453631836,184620798.585354
118,98282,98282,061,Standard,Snohomish County,CAMANO ISLAND,23945.8895118138,21936739.1889824
119,98288,98288,033,PO Box,King County,SKYKOMISH,484898.031643423,8749431155.55998
120,98290,98290,061,Standard,Snohomish County,SNOHOMISH,347710.853609905,2852193029.44153
121,98292,98292,061,Standard,Snohomish County,STANWOOD,269935.392546945,2032125803.42066
122,98294,98294,061,Standard,Snohomish County,SULTAN,621328.971440706,10936936609.589
123,98296,98296,061,Standard,Snohomish County,SNOHOMISH,263970.855672082,1048106698.3611
124,98303,98303,053,Standard,Pierce County,ANDERSON ISLAND,100332.430277253,224054989.5658
125,98304,98304,053,Standard,Pierce County,ASHFORD,148164.538100714,322185529.255085
126,98310,98310,035,Standard,Kitsap County,BREMERTON,53742.9544058882,151938878.423444
127,98311,98311,035,Standard,Kitsap County,BREMERTON,80184.5342486696,305252168.756766
128,98312,98312,035,Standard,Kitsap County,BREMERTON,309277.301391635,1815260051.09847
129,98314,98314,035,Unique,Kitsap County,BREMERTON,47284.4816262879,17243414.8815136
130,98315,98315,035,Standard,Kitsap County,SILVERDALE,89492.0180185258,305686874.908169
131,98321,98321,053,Standard,Pierce County,BUCKLEY,203533.627868084,1143293737.21058
132,98323,98323,053,Standard,Pierce County,CARBONADO,161148.783648178,826550521.678505
133,98327,98327,053,Standard,Pierce County,DUPONT,95271.3944033658,192972502.01469
134,98328,98328,053,Standard,Pierce County,EATONVILLE,304188.897703458,2717657378.75255
135,98329,98329,053,Standard,Pierce County,GIG HARBOR,157239.465509409,720554062.162433
136,98330,98330,053,Standard,Pierce County,ELBE,45773.0855714593,53285055.2628591
137,98332,98332,053,Standard,Pierce County,GIG HARBOR,133917.847569236,584193953.63792
138,98333,98333,053,Standard,Pierce County,FOX ISLAND,77598.048520486,143543103.462987
139,98335,98335,053,Standard,Pierce County,GIG HARBOR,183845.813152139,624049842.061831
140,98337,98337,035,Standard,Kitsap County,BREMERTON,23679.1687282685,26585842.7289696
141,98338,98338,053,Standard,Pierce County,GRAHAM,224377.437630031,1600401562.80929
142,98340,98340,035,Standard,Kitsap County,HANSVILLE,92459.7274660116,200154613.762434
143,98342,98342,035,Standard,Kitsap County,INDIANOLA,52169.883469774,94643089.6344802
144,98345,98345,035,PO Box,Kitsap County,KEYPORT,25005.6026396927,12546439.2347661
145,98346,98346,035,Standard,Kitsap County,KINGSTON,208885.717737245,690648859.113622
146,98349,98349,053,Standard,Pierce County,LAKEBAY,191076.148707963,593732273.123506
147,98351,98351,053,Standard,Pierce County,LONGBRANCH,108589.44020746,255301603.540799
148,98354,98354,033,Standard,King County,MILTON,25310.3795742807,15004869.6511532
149,98354,98354,053,Standard,Pierce County,MILTON,41500.7194148488,57586161.2647119
150,98359,98359,035,Standard,Kitsap County,OLALLA,96069.3162223938,382122913.43151
151,98360,98360,053,Standard,Pierce County,ORTING,253905.892081347,1460825810.74423
152,98366,98366,035,Standard,Kitsap County,PORT ORCHARD,183219.062739323,660949212.963132
153,98367,98367,035,Standard,Kitsap County,PORT ORCHARD,231810.021250127,2171137806.04173
154,98370,98370,035,Standard,Kitsap County,POULSBO,380458.028251352,1649530607.27572
155,98371,98371,053,Standard,Pierce County,PUYALLUP,94169.3117630309,362704639.243807
156,98372,98372,053,Standard,Pierce County,PUYALLUP,108969.639015604,373917060.363163
157,98373,98373,053,Standard,Pierce County,PUYALLUP,64284.7284115207,257979684.614837
158,98374,98374,053,Standard,Pierce County,PUYALLUP,108095.145660153,467542203.688638
159,98375,98375,053,Standard,Pierce County,PUYALLUP,65271.0364044036,258436981.076223
160,98380,98380,035,Standard,Kitsap County,SEABECK,258881.63624543,1277849520.03771
161,98383,98383,035,Standard,Kitsap County,SILVERDALE,143446.441624924,466266247.526873
162,98385,98385,053,Standard,Pierce County,SOUTH PRAIRIE,13894.8279792335,11206789.0517275
163,98387,98387,053,Standard,Pierce County,SPANAWAY,222586.298015202,600727096.47732
164,98388,98388,053,Standard,Pierce County,STEILACOOM,150472.326626288,270365040.708388
165,98390,98390,053,Standard,Pierce County,SUMNER,102124.291492003,259404678.153172
166,98391,98391,053,Standard,Pierce County,BONNEY LAKE,202313.092317101,1066853526.03897
167,98392,98392,035,Standard,Kitsap County,SUQUAMISH,43995.6057693667,51250366.0680654
168,98394,98394,053,Standard,Pierce County,VAUGHN,79405.8937056336,133404688.178541
169,98396,98396,053,Standard,Pierce County,WILKESON,735525.483097261,12041118450.9687
170,98397,98397,053,Standard,Pierce County,LONGMIRE,428882.206996894,8546367830.66873
171,98402,98402,053,Standard,Pierce County,TACOMA,30734.1758557716,26122235.4721448
172,98403,98403,053,Standard,Pierce County,TACOMA,23495.0333527643,28909375.6830645
173,98404,98404,053,Standard,Pierce County,TACOMA,61572.1532475272,216064462.51601
174,98405,98405,053,Standard,Pierce County,TACOMA,50261.100128424,119311831.310461
175,98406,98406,053,Standard,Pierce County,TACOMA,74118.9712239438,108837257.148837
176,98407,98407,053,Standard,Pierce County,TACOMA,71745.4484657602,155761059.396357
177,98408,98408,053,Standard,Pierce County,TACOMA,40949.9216956624,95930078.0846862
178,98409,98409,053,Standard,Pierce County,TACOMA,74004.1799257125,203658771.395322
179,98416,98416,053,Unique,Pierce County,TACOMA,9681.51226136949,4084771.55624899
180,98418,98418,053,Standard,Pierce County,TACOMA,27782.0268112828,46885764.1226016
181,98421,98421,053,Standard,Pierce County,TACOMA,121126.149870359,180865484.646134
182,98422,98422,033,Standard,King County,TACOMA,10181.5695170739,1572074.627721
183,98422,98422,053,Standard,Pierce County,TACOMA,93050.6717242387,185750822.804999
184,98424,98424,053,Standard,Pierce County,TACOMA,70301.3632957982,151535020.524421
185,98430,98430,053,Standard,Pierce County,CAMP MURRAY,16682.2916373454,13323856.205509
186,98433,98433,053,Standard,Pierce County,TACOMA,364517.857849181,2980326383.99468
187,98438,98438,053,Standard,Pierce County,TACOMA,74075.4039876706,179111621.16739
188,98439,98439,053,Standard,Pierce County,LAKEWOOD,31208.6746879129,32367051.3095343
189,98443,98443,053,Standard,Pierce County,TACOMA,51842.2282453735,138725726.1697
190,98444,98444,053,Standard,Pierce County,TACOMA,84939.7842849281,193899333.485341
191,98445,98445,053,Standard,Pierce County,TACOMA,95666.1493196208,302059701.039174
192,98446,98446,053,Standard,Pierce County,TACOMA,92261.2847446496,303052697.022457
193,98447,98447,053,Unique,Pierce County,TACOMA,9413.06547618663,3176084.47231763
194,98465,98465,053,Standard,Pierce County,TACOMA,35511.7127978172,52783838.1541694
195,98466,98466,053,Standard,Pierce County,TACOMA,61175.8867076834,162812597.529725
196,98467,98467,053,Standard,Pierce County,UNIVERSITY PLACE,56520.8717446945,126466429.452082
197,98498,98498,053,Standard,Pierce County,LAKEWOOD,94191.6298205216,271504227.425359
198,98499,98499,053,Standard,Pierce County,LAKEWOOD,82258.8314442442,258668276.067722
199,98580,98580,053,Standard,Pierce County,ROY,234421.90642829,1813778218.6739
200,98826,98826,007,Standard,Chelan County,LEAVENWORTH,845445.555911526,26179809172.1053
201,98922,98922,037,Standard,Kittitas County,CLE ELUM,871202.840237978,17220076338.9379
202,98925,98925,037,Standard,Kittitas County,EASTON,513881.75561834,5997914904.4595
203,98926,98926,037,Standard,Kittitas County,ELLENSBURG,947568.861297733,32490465847.5645
204,98934,98934,037,PO Box,Kittitas County,KITTITAS,21908.6905747336,12289665.0654034
205,98940,98940,037,PO Box,Kittitas County,RONALD,465055.06553898,5451150404.5628
206,98941,98941,037,PO Box,Kittitas County,ROSLYN,128017.069816111,357024286.209639
207,98943,98943,037,PO Box,Kittitas County,SOUTH CLE ELUM,14265.7191524655,10064275.3951149
208,98946,98946,037,Standard,Kittitas County,THORP,148179.572806545,836663894.394367
209,98950,98950,037,PO Box,Kittitas County,VANTAGE,209701.375729641,915724778.436799
